match_set, league, team, scope, GP, W%, FTS, CS, BTS, TG, GF, GA, 1.5+, 2.5+, 3.5+, PPG
33,argentina2,E. Rio Cuarto,home,2,50%,50%,100%,0%,0.50,0.50,0.00,0%,0%,0%,2.00
33,argentina2,A. Tucuman,away,2,50%,50%,100%,0%,1.00,1.00,0.00,50%,0%,0%,2.00
34,argentina2,Lanus,home,2,50%,50%,50%,0%,1.00,0.50,0.50,0%,0%,0%,1.50
34,argentina2,Independiente,away,2,50%,50%,50%,0%,1.50,1.00,0.50,50%,0%,0%,1.50
35,argentina2,Velez Sarsfield,home,2,100%,0%,100%,0%,1.00,1.00,0.00,0%,0%,0%,3.00
35,argentina2,Defensa y J.,away,1,0%,100%,0%,0%,3.00,0.00,3.00,100%,100%,0%,0.00
36,argentina2,G. Mendoza,home,2,100%,0%,100%,0%,1.50,1.50,0.00,50%,0%,0%,3.00
36,argentina2,T. de Cordoba,away,2,50%,50%,50%,0%,2.50,2.00,0.50,50%,50%,50%,1.50
39,argentina3,Central Norte,home,10,30%,30%,50%,40%,1.50,0.80,0.70,40%,10%,10%,1.40
39,argentina3,Gimnasia y Tiro,away,11,36%,36%,18%,55%,2.18,1.00,1.18,73%,45%,9%,1.27
